Station ID,Latitude,Longitude,PM25
XCNAQ1012,29.2718,88.8876,22.9559
XCNAQ1013,29.2365,88.8931,25.2417
XCNAQ184,35.4234,119.5198,57.9616
XCNAQ182,35.4178,119.4641,65.8644
CN_1453A,25.0405,102.722,31.8384
CN_1449A,25.0124,102.743,34.293
CN_1450A,24.8885,102.821,24.1411
CN_1455A,25.0359,102.638,28.952
CN_1451A,24.9624,102.625,21.086
CN_1454A,25.067,102.681,33.7672
CN_1452A,25.0836,102.728,25.8062
XCNAQ1076,44.1564,87.9897,28.2861
XCNAQ1077,44.0114,87.2997,42.4177
XCNAQ1078,44.0297,87.2717,48.9788
XCNAQ1009,31.1254,97.1808,25.4731
XCNAQ1008,31.1278,97.1804,21.8813
XCNAQ985,27.3361,103.7225,30.0799
XCNAQ984,27.3392,103.7032,37.1589
XCNAQ581,37.7111,112.7306,55.2161
XCNAQ582,37.7087,112.7105,60.7741
XCNAQ579,37.7019,112.7549,53.1647
XCNAQ570,35.4883,112.8564,59.0226
XCNAQ571,35.4894,112.8664,53.5504
XCNAQ572,35.4813,112.8252,55.0245
XCNAQ569,35.4934,112.835,54.8056
XCNAQ573,35.4908,112.8517,55.9315
XCNAQ568,35.5051,112.85,61.2784
XCNAQ1098,22.7633,100.98,22.9464
XCNAQ1099,22.8322,100.9817,26.7636
XCNAQ744,29.2786,117.1983,49.3508
XCNAQ745,29.2647,117.1558,43.1787
XCNAQ742,29.3864,117.3097,32.7097
XCNAQ743,29.2958,117.2111,43.5754
XCNAQ746,29.2956,117.2461,43.1851
XCNAQ476,25.5364,103.8,29.4639
XCNAQ322,25.5035,103.7897,30.571
XCNAQ576,39.3179,112.4254,57.3272
XCNAQ578,39.3673,112.4279,45.2661
XCNAQ577,39.3265,112.4078,49.6765
XCNAQ574,39.3514,112.44,58.367
XCNAQ575,39.3606,112.4549,49.3556
XCNAQ908,23.7369,109.2317,43.1265
XCNAQ907,23.7208,109.2131,43.0272
CN_1225A,29.635,119.026,31.6933
XCNAQ1019,29.6632,94.3616,10.3496
XCNAQ1018,29.6376,94.3681,11.2059
XCNAQ1060,34.4714,100.2561,43.7625
XCNAQ172,34.5667,117.732,85.9249
XCNAQ169,35.0992,117.4518,76.1266
XCNAQ170,34.7745,117.5852,88.4466
XCNAQ168,34.864,117.5564,86.7379
XCNAQ171,34.7837,117.2852,94.011
XCNAQ367,24.3158,109.4839,43.1518
XCNAQ273,24.3663,109.3957,54.9755
XCNAQ272,24.299,109.4221,50.6267
XCNAQ368,24.3898,109.4883,44.9222
XCNAQ270,24.3405,109.3886,52.4629
