fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T1,M,0.09,16.559111862574564,13.0,2.1
HFO,T1,M,0.1,15.813852000841678,13.0,2.1
HFO,T1,M,0.11,15.233990309883211,13.0,2.1
HFO,T1,M,0.12,14.772339447596377,13.0,2.1
HFO,T1,M,0.13,14.397712516400889,13.0,2.1
HFO,T1,M,0.14,14.088757805930417,13.0,2.1
HFO,T1,M,0.15,13.8304167768008,13.0,2.1
HFO,T1,M,0.16,13.611796720982095,13.0,2.1
HFO,T1,M,0.17,13.424843976700895,13.0,2.1
HFO,T1,M,0.18,13.263489150988736,13.0,2.1
HFO,T1,M,0.19,13.12308067244877,13.0,2.1
HFO,T1,M,0.2,13.000000000000004,13.0,2.1
HFO,T1,M,0.21,13.0,13.0,2.1
HFO,T1,M,0.22,13.0,13.0,2.1
HFO,T1,M,0.23,13.0,13.0,2.1
HFO,T1,M,0.24,13.0,13.0,2.1
HFO,T1,M,0.25,13.0,13.0,2.1
HFO,T1,M,0.26,13.0,13.0,2.1
HFO,T1,M,0.27,13.0,13.0,2.1
HFO,T1,M,0.28,13.0,13.0,2.1
HFO,T1,M,0.29,13.0,13.0,2.1
HFO,T1,M,0.3,13.0,13.0,2.1
HFO,T1,M,0.31,13.0,13.0,2.1
HFO,T1,M,0.32,13.0,13.0,2.1
HFO,T1,M,0.33,13.0,13.0,2.1
HFO,T1,M,0.34,13.0,13.0,2.1
HFO,T1,M,0.35,13.0,13.0,2.1
HFO,T1,M,0.36,13.0,13.0,2.1
HFO,T1,M,0.37,13.0,13.0,2.1
HFO,T1,M,0.38,13.0,13.0,2.1
HFO,T1,M,0.39,13.0,13.0,2.1
HFO,T1,M,0.4,13.0,13.0,2.1
HFO,T1,M,0.41,13.0,13.0,2.1
HFO,T1,M,0.42,13.0,13.0,2.1
HFO,T1,M,0.43,13.0,13.0,2.1
HFO,T1,M,0.44,13.0,13.0,2.1
HFO,T1,M,0.45,13.0,13.0,2.1
HFO,T1,M,0.46,13.0,13.0,2.1
HFO,T1,M,0.47,13.0,13.0,2.1
HFO,T1,M,0.48,13.0,13.0,2.1
HFO,T1,M,0.49,13.0,13.0,2.1
HFO,T1,M,0.5,13.0,13.0,2.1
HFO,T1,M,0.51,13.0,13.0,2.1
HFO,T1,M,0.52,13.0,13.0,2.1
HFO,T1,M,0.53,13.0,13.0,2.1
HFO,T1,M,0.54,13.0,13.0,2.1
HFO,T1,M,0.55,13.0,13.0,2.1
HFO,T1,M,0.56,13.0,13.0,2.1
HFO,T1,M,0.57,13.0,13.0,2.1
