ME_type,fuel_type,s_content,Load1,CO2_EF_ME,CO2_EF_AE,CO2_EF_AB,SO2_EF_ME,SO2_EF_AE,SO2_EF_AB,SO4_EF_ME,SO4_EF_AE,SO4_EF_AB,EC_EF_ME,EC_EF_AE,EC_EF_AB,OC_EF_ME,OC_EF_AE,OC_EF_AB,CO_EF_ME,CO_EF_AE,CO_EF_AB,NMVOC_EF_ME,NMVOC_EF_AE,NMVOC_EF_AB,NH3_EF_ME,NH3_EF_AE,NH3_EF_AB
SSD,HFO,2.7,0.54,625.0084799400001,862.578,949.77,10.59127062,14.62,16.1,0.36024730000000005,0.5,0.56,0.08234224000000001,0.08,0.08,0.21079636835191864,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.55,623.708704125,862.578,949.77,10.569244875,14.62,16.1,0.359498125,0.5,0.56,0.08217100000000001,0.08,0.08,0.21035792860581445,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.56,622.46418624,862.578,949.77,10.54815552,14.62,16.1,0.3587808,0.5,0.56,0.08200704,0.08,0.08,0.20993814392207874,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.57,621.274926285,862.578,949.77,10.528002555,14.62,16.1,0.358095325,0.5,0.56,0.08185036,0.08,0.08,0.2095370091940794,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.58,620.1409242600001,862.578,949.77,10.50878598,14.62,16.1,0.35744170000000003,0.5,0.56,0.08170096000000003,0.08,0.08,0.20915452074390595,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.59,619.0621801650002,862.578,949.77,10.490505795,14.62,16.1,0.356819925,0.5,0.56,0.08155884000000001,0.08,0.08,0.2087906759224326,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.6,618.0386940000002,862.578,949.77,10.473162,14.62,16.1,0.35623,0.5,0.56,0.08142400000000001,0.08,0.08,0.2084454728213926,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.61,617.0704657650001,862.578,949.77,10.456754595,14.62,16.1,0.355671925,0.5,0.56,0.08129644000000001,0.08,0.08,0.20811891006607602,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.62,616.1574954600002,862.578,949.77,10.44128358,14.62,16.1,0.35514569999999995,0.5,0.56,0.08117616,0.08,0.08,0.2078109866660648,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.63,615.299783085,862.578,949.77,10.426748955,14.62,16.1,0.354651325,0.5,0.56,0.08106316,0.08,0.08,0.2075217019077476,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.64,614.49732864,862.578,949.77,10.41315072,14.62,16.1,0.3541888,0.5,0.56,0.08095744,0.08,0.08,0.20725105527691348,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.65,613.750132125,862.578,949.77,10.400488875,14.62,16.1,0.353758125,0.5,0.56,0.080859,0.08,0.08,0.20699904640300376,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.66,613.05819354,862.578,949.77,10.388763419999998,14.62,16.1,0.3533593,0.5,0.56,0.08076784000000001,0.08,0.08,0.20676567501895815,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.67,612.421512885,862.578,949.77,10.377974355,14.62,16.1,0.352992325,0.5,0.56,0.08068396,0.08,0.08,0.20655094093229115,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.68,611.84009016,862.578,949.77,10.36812168,14.62,16.1,0.3526572,0.5,0.56,0.08060736,0.08,0.08,0.20635484400425547,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.69,611.3139253649998,862.578,949.77,10.359205394999998,14.62,16.1,0.352353925,0.5,0.56,0.08053803999999999,0.08,0.08,0.20617738413483086,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.7,610.8430185000002,862.578,949.77,10.3512255,14.62,16.1,0.35208249999999996,0.5,0.56,0.080476,0.08,0.08,0.20601856125190868,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.71,610.4273695650003,862.578,949.77,10.344181995,14.62,16.1,0.35184292500000003,0.5,0.56,0.08042124000000002,0.08,0.08,0.20587837530349806,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.72,610.06697856,862.578,949.77,10.33807488,14.62,16.1,0.35163520000000004,0.5,0.56,0.08037376,0.08,0.08,0.20575682625211006,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.73,609.7618454850002,862.578,949.77,10.332904155,14.62,16.1,0.35145932500000004,0.5,0.56,0.08033356000000001,0.08,0.08,0.20565391407071046,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.74,609.51197034,862.578,949.77,10.328669819999998,14.62,16.1,0.35131529999999994,0.5,0.56,0.08030063999999999,0.08,0.08,0.205569638739802,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.75,609.317353125,862.578,949.77,10.325371874999998,14.62,16.1,0.35120312499999995,0.5,0.56,0.080275,0.08,0.08,0.20550400024532253,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.76,609.1779938400001,862.578,949.77,10.32301032,14.62,16.1,0.3511228,0.5,0.56,0.08025664,0.08,0.08,0.20545699857712849,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.77,609.0938924850002,862.578,949.77,10.321585155,14.62,16.1,0.351074325,0.5,0.56,0.08024556000000001,0.08,0.08,0.2054286337279024,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.78,609.0650490600002,862.578,949.77,10.32109638,14.62,16.1,0.35105770000000003,0.5,0.56,0.08024176000000001,0.08,0.08,0.2054189056923652,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.79,609.0914635650001,862.578,949.77,10.321543995,14.62,16.1,0.35107292500000004,0.5,0.56,0.08024524000000001,0.08,0.08,0.2054278144667079,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.8,609.1731360000001,862.578,949.77,10.322928,14.62,16.1,0.35112,0.5,0.56,0.08025600000000001,0.08,0.08,0.2054553600481821,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.81,609.310066365,862.578,949.77,10.325248395,14.62,16.1,0.351198925,0.5,0.56,0.08027404,0.08,0.08,0.20550154243480434,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.82,609.50225466,862.578,949.77,10.32850518,14.62,16.1,0.35130969999999995,0.5,0.56,0.08029936,0.08,0.08,0.2055663616251432,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.83,609.749700885,862.578,949.77,10.332698355,14.62,16.1,0.351452325,0.5,0.56,0.08033196000000001,0.08,0.08,0.2056498176181655,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.84,610.05240504,862.578,949.77,10.33782792,14.62,16.1,0.3516268,0.5,0.56,0.08037184,0.08,0.08,0.20575191041312546,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.85,610.410367125,862.578,949.77,10.343893875,14.62,16.1,0.351833125,0.5,0.56,0.080419,0.08,0.08,0.2058726400094846,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.86,610.8235871400002,862.578,949.77,10.35089622,14.62,16.1,0.35207130000000003,0.5,0.56,0.08047344000000001,0.08,0.08,0.20601200640685435,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.87,611.2920650850002,862.578,949.77,10.358834955,14.62,16.1,0.35234132500000004,0.5,0.56,0.08053516000000002,0.08,0.08,0.20617000960495396,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.88,611.81580096,862.578,949.77,10.367710079999998,14.62,16.1,0.35264320000000005,0.5,0.56,0.08060416000000001,0.08,0.08,0.20634664960358076,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.89,612.394794765,862.578,949.77,10.377521595,14.62,16.1,0.352976925,0.5,0.56,0.08068044,0.08,0.08,0.20654192640258845,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.9,613.0290464999998,862.578,949.77,10.388269499999998,14.62,16.1,0.35334249999999995,0.5,0.56,0.080764,0.08,0.08,0.20675584000187125,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.91,613.7185561650001,862.578,949.77,10.399953795,14.62,16.1,0.353739925,0.5,0.56,0.08085484000000001,0.08,0.08,0.20698839040135286,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.92,614.4633237600002,862.578,949.77,10.41257448,14.62,16.1,0.3541692,0.5,0.56,0.08095296000000002,0.08,0.08,0.2072395776009783,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.93,615.263349285,862.578,949.77,10.426131555,14.62,16.1,0.354630325,0.5,0.56,0.08105836,0.08,0.08,0.2075094016007074,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.94,616.1186327400002,862.578,949.77,10.44062502,14.62,16.1,0.35512330000000003,0.5,0.56,0.08117104000000001,0.08,0.08,0.20779786240051165,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.95,617.029174125,862.578,949.77,10.456054875,14.62,16.1,0.35564812500000004,0.5,0.56,0.08129100000000003,0.08,0.08,0.20810496000037004,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
SSD,HFO,2.7,0.96,617.99497344,862.578,949.77,10.472421119999998,14.62,16.1,0.3562048,0.5,0.56,0.08141824,0.08,0.08,0.2084306944002676,0.2,0.2,1.4,1.1,0.2,0.6,0.4,0.1,0.003,0.003,0.004
